,State,N̼mero de States
0,Alabama,61
1,Arizona,224
2,Arkansas,60
3,California,2001
4,Colorado,182
5,Connecticut,82
6,Delaware,96
7,District of Columbia,10
8,Florida,383
9,Georgia,184
10,Idaho,21
11,Illinois,492
12,Indiana,149
13,Iowa,30
14,Kansas,24
15,Kentucky,139
16,Louisiana,42
17,Maine,8
18,Maryland,105
19,Massachusetts,135
20,Michigan,255
21,Minnesota,89
22,Mississippi,53
23,Missouri,66
24,Montana,15
25,Nebraska,38
26,Nevada,39
27,New Hampshire,27
28,New Jersey,130
29,New Mexico,37
30,New York,1128
31,North Carolina,249
32,North Dakota,7
33,Ohio,469
34,Oklahoma,66
35,Oregon,124
36,Pennsylvania,587
37,Rhode Island,56
38,South Carolina,42
39,South Dakota,12
40,Tennessee,183
41,Texas,985
42,Utah,53
43,Vermont,11
44,Virginia,224
45,Washington,506
46,West Virginia,4
47,Wisconsin,110
48,Wyoming,1
